Название,Цена,Автор,Серия,Раздел,Издательство,ISBN,Возрастное ограничение,Год издания,Количество страниц,Переплет,Бумага,Формат,Вес
Дашкевич Виктор: Тайна мертвого ректора. Книга 1,618 ₽,Виктор Дашкевич,Расследования графа Аверина,Русское фэнтези,Эксмо,978-5-04-204880-7,16+,2024,348,Твёрдый переплёт,Нет данных,130x205  мм,0.39  кг
Кель Фрэнсис: Песнь Сорокопута. Да здравствует принц!,679 ₽,Фрэнсис Кель,Охотники за мирами,Русское фэнтези,Эксмо,978-5-04-175989-6,18+,2024,544,Твёрдый переплёт,офсет,130x205  мм,0.49  кг
Тони Сия: Система: Искупление (#3),618 ₽,Сия Тони,Freedom. Эксперимент любви. Романтическое фэнтези Сии Тони,Русское фэнтези,"Эксмо, Freedom",978-5-04-206090-8,18+,2025,512,Твёрдый переплёт,офсет,125x200  мм,0.01  кг
"Камша Вера Викторовна, Папсуев Роман Валентинович: Битва за Лукоморье. Книга 3",1 062 ₽,"Вера Камша, Роман Папсуев",Новые сказки Старой Руси,Русское фэнтези,Эксмо,978-5-04-180390-2,16+,2024,752,Твёрдый переплёт,офсет,143x217  мм,0.82  кг
Котова Ирина Владимировна: Королевская кровь. Вороново сердце. Часть 1,576 ₽,Ирина Котова,Другие Миры,Русское фэнтези,Нет данных,978-5-17-170740-8,16+,2024,352,Твёрдый переплёт,газетная,132x207  мм,0.28  кг
Дашкевич Виктор: Демон из Пустоши. Колдун Российской империи,594 ₽,Виктор Дашкевич,Расследования графа Аверина,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-197227-1,16+,2024,672,Твёрдый переплёт,Нет данных,130x205  мм,0.55  кг
Дашкевич Виктор: Граф Аверин. Колдун Российской империи,729 ₽,Виктор Дашкевич,Расследования графа Аверина,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-181688-9,16+,2024,608,Твёрдый переплёт,Нет данных,130x205  мм,0.52  кг
Пехов Алексей Юрьевич: Птицеед. Коллекционное издание,1 679 ₽,Алексей Пехов,Пехов. Коллекционные издания,Русское фэнтези,Alpaca,978-5-00242-060-5,16+,2025,400,Твёрдый переплёт,Нет данных,161x226  мм,0.70  кг
Князь Анастасия: Запечатление,600 ₽,Анастасия Князь,Фэнтези. Бромансы,Русское фэнтези,АСТ,978-5-17-168596-6,18+,2025,416,Твёрдый переплёт,газетная,125x200  мм,0.01  кг
Штарк Анна и Мари: Обезьяний лес. Том 1,1 019 ₽,Анна и Мари Штарк,Обезьяний лес,Русское фэнтези,Нет данных,978-5-353-10981-5,18+,2025,640,Твёрдый переплёт,Нет данных,145x220  мм,0.50  кг
Дашкевич Виктор: Комплект из 3-х книг. Граф Аверин. Колдун Российской империи + Императорский Див. Колдун Российской империи + Демон из Пустоши. Колдун Российской империи,1 614 ₽,Виктор Дашкевич,Расследования графа Аверина,Русское фэнтези,Эксмо,978-5-04-204099-3,16+,2024,Нет данных,Твёрдый переплёт,Нет данных,130x205  мм,1.46  кг
Моргот Эл: Злодейский путь!.. Том 5,1 205 ₽,Эл Моргот,Злодейский путь!...,Русское фэнтези,МИФ,978-5-00214-987-2,12+,2024,480,Твёрдый переплёт,офсет,155x220  мм,0.01  кг
Дашкевич Виктор: Императорский Див. Колдун Российской империи,620 ₽,Виктор Дашкевич,Расследования графа Аверина,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-190988-8,16+,2024,448,Твёрдый переплёт,Нет данных,130x207  мм,0.40  кг
Хоффман Рита: Красное бедствие,790 ₽,Рита Хоффман,Red Violet. Темные миры,Русское фэнтези,МИФ,978-5-00250-039-0,16+,2024,480,Твёрдый переплёт,офсет,130x207  мм,0.50  кг
Сафонова Евгения Сергеевна: Белая королева,618 ₽,Евгения Сафонова,Young Adult. Об ужасном и прекрасном. Проза Евгении Сафоновой,Русское фэнтези,"Эксмо, Like Book",978-5-04-202577-8,16+,2025,416,Твёрдый переплёт,Нет данных,215x145  мм,0.01  кг
Кондрацкая Елена Александровна: Имя ей Хель,705 ₽,Елена Кондрацкая,Young Adult. Книжный бунт. Фантастика,Русское фэнтези,"Эксмо, Черным-бело, Редакция 1",978-5-04-200140-6,18+,2024,512,Твёрдый переплёт,офсет,130x205  мм,0.49  кг
Демина Карина: Ведьмина ночь,577 ₽,Карина Демина,Идеальное фэнтези. Романы Карины Деминой,Русское фэнтези,АСТ,978-5-17-162665-5,16+,2024,384,Твёрдый переплёт,газетная,135x207  мм,0.38  кг
Джукич Алиса Владиславовна: Адские тени,662 ₽,Алиса Джукич,Freedom. Инферно. Дарк фэнтези Алисы Джукич,Русское фэнтези,"Эксмо, Freedom",978-5-04-203909-6,18+,2024,544,Твёрдый переплёт,офсет,128x206  мм,0.54  кг
Хоффман Рита: Мрачный взвод. Специальное издание,2 464 ₽,Рита Хоффман,Red Violet. Темные миры,Русское фэнтези,МИФ,978-5-00250-098-7,16+,2024,1168,Твёрдый переплёт,офсет,145x210  мм,1.26  кг
Гор Анастасия: Самайнтаун,849 ₽,Анастасия Гор,Young Adult. Книжный бунт. Фантастика,Русское фэнтези,Нет данных,978-5-04-206639-9,18+,2024,704,Твёрдый переплёт,Нет данных,135x205  мм,0.60  кг
Котова Ирина Владимировна: Королевская кровь. Вороново сердце. ч.2,641 ₽,Ирина Котова,Другие Миры,Русское фэнтези,Нет данных,978-5-17-170741-5,16+,2024,512,Твёрдый переплёт,газетная,125x200  мм,0.01  кг
Пелевина Оксана: Печать Нострадамуса. Божество в камне,747 ₽,Оксана Пелевина,GameStory.League Of Dreamers,Русское фэнтези,АСТ,978-5-17-157082-8,18+,2024,416,Твёрдый переплёт,офсет,130x207  мм,0.46  кг
Джейн Анна: Наследница черного дракона,382 ₽,Анна Джейн,#trendbooks,Русское фэнтези,CLEVER,978-5-00154-682-5,16+,2021,544,Твёрдый переплёт,Нет данных,132x207  мм,0.50  кг
Paracosm: Счастливого дня пробуждения,747 ₽,Paracosm,Вне серий,Русское фэнтези,МИФ,978-5-00214-749-6,16+,2024,320,Твёрдый переплёт,офсет,152x217  мм,0.51  кг
Линь Эон: Лимбус. Том 1,1 094 ₽,Эон Линь,Азиатское фэнтези. Миры Эон Линь,Русское фэнтези,АСТ,978-5-17-169933-8,18+,2024,432,Твёрдый переплёт,офсет,145x218  мм,0.65  кг
Коста Габриэль: Дыхание. Сердце пустыни,871 ₽,Габриэль Коста,Бестселлеры Габриэля Косты,Русское фэнтези,АСТ,978-5-17-170179-6,16+,2024,336,Твёрдый переплёт,офсет,148x217  мм,0.49  кг
Свон Таня: Поцелуй со вкусом яда,642 ₽,Таня Свон,Таня Свон в оформлении Елены Рудман,Русское фэнтези,Эксмо,978-5-04-209316-6,18+,2025,416,Твёрдый переплёт,газетная,125x200  мм,0.01  кг
Го Алекс: Безмятежный лотос в мире демонов,954 ₽,Алекс Го,Алый Клен. Российские хиты ориентального фэнтези,Русское фэнтези,Эксмо,978-5-04-201259-4,16+,2025,400,Твёрдый переплёт,Нет данных,138x212  мм,0.01  кг
Евдокимов Игорь Алексеевич: Тайный архив Корсакова. Оккультный детектив,649 ₽,Игорь Евдокимов,Альтернативная Российская империя. Расследования Корсакова,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-204154-9,16+,2024,352,Твёрдый переплёт,Нет данных,130x205  мм,0.34  кг
Тони Сия: Система: Искушение,662 ₽,Сия Тони,Freedom. Эксперимент любви. Романтическое фэнтези Сии Тони,Русское фэнтези,"Эксмо, Freedom",978-5-04-206088-5,18+,2024,416,Твёрдый переплёт,офсет,135x205  мм,0.40  кг
Джейн Анна: Подарок ангела и другие рассказы,492 ₽,Анна Джейн,Романы Анны Джейн,Русское фэнтези,CLEVER,978-5-00211-899-1,18+,2024,448,Твёрдый переплёт,Нет данных,130x207  мм,0.40  кг
Альфсен Сэм: Рассеивая сумрак. Раб и меч,679 ₽,Сэм Альфсен,Книжный клуб Мирай,Русское фэнтези,АСТ,978-5-17-168245-3,18+,2024,480,Твёрдый переплёт,газетная,130x206  мм,0.45  кг
Джей Миллс Эйси: Странники. Слезы небожителей,726 ₽,Эйси Джей Миллс,Книжный клуб Мирай,Русское фэнтези,АСТ,978-5-17-164999-9,18+,2025,576,Твёрдый переплёт,газетная,125x200  мм,0.01  кг
Маро Моргана: Цветы пиона на снегу. Том 3,832 ₽,Маро Моргана,Цветы пиона на снегу,Русское фэнтези,О2 Young adult книги,978-5-353-10891-7,18+,2024,544,Твёрдый переплёт,Нет данных,148x221  мм,0.69  кг
Жильцова Наталья Сергеевна: Академия черного дракона,1 202 ₽,Наталья Жильцова,Миры Натальи Жильцовой. Коллекция,Русское фэнтези,Эксмо,978-5-04-194598-5,16+,2024,576,Твёрдый переплёт,газетная,130x205  мм,0.46  кг
Чароит Алан: Удивительные сказания Дивнозёрья,576 ₽,Алан Чароит,Дивнозёрье,Русское фэнтези,АСТ,978-5-17-170621-0,16+,2025,352,Твёрдый переплёт,газетная,Нет данных,0.01  кг
"Вудворт Франциска, Генер Марго, Ёрш Ника: Сердце василиска",641 ₽,"Франциска Вудворт, Марго Генер, Ника Ёрш",Звезды романтического фэнтези,Русское фэнтези,АСТ,978-5-17-168090-9,16+,2024,320,Твёрдый переплёт,газетная,130x205  мм,0.26  кг
Гончарова Галина Дмитриевна: Е.Н. Отт и Ехидна,577 ₽,Галина Гончарова,Звезды романтического фэнтези,Русское фэнтези,АСТ,978-5-17-168442-6,16+,2024,416,Твёрдый переплёт,газетная,130x205  мм,0.31  кг
Джейн Анна: Тайна черного дракона,509 ₽,Анна Джейн,Романы Анны Джейн,Русское фэнтези,CLEVER,978-5-00211-087-2,16+,2023,413,Твёрдый переплёт,Нет данных,135x208  мм,0.40  кг
"Лисина Александра: Леди-призрак: Вакансия для призрака, Призрак на задании",1 202 ₽,Александра Лисина,Коллекция фэнтези-бестселлеров,Русское фэнтези,Нет данных,978-5-17-170956-3,16+,2024,656,Твёрдый переплёт,газетная,147x208  мм,0.36  кг
Салье Мира: Мальн. Духи и Жертвы (#3),684 ₽,Мира Салье,Young Adult. Легенды Оглама,Русское фэнтези,"Эксмо, Freedom",978-5-04-200633-3,16+,2024,576,Твёрдый переплёт,газетная,125x200  мм,0.01  кг
Гичко Екатерина Ивановна: Плата за мир. Змеиный венец,871 ₽,Екатерина Гичко,Королевская библиотека,Русское фэнтези,Эксмо,978-5-04-206406-7,16+,2024,544,Твёрдый переплёт,газетная,145x215  мм,0.52  кг
Джейн Анна: Звезда Черного дракона,577 ₽,Анна Джейн,Романы Анны Джейн,Русское фэнтези,CLEVER,978-5-00211-402-3,16+,2023,350,Твёрдый переплёт,Нет данных,130x205  мм,0.33  кг
Селютина Алена: О детях Кощеевых,1 062 ₽,Алена Селютина,Red Violet. Больше чем магия,Русское фэнтези,МИФ,978-5-00214-878-3,16+,2024,800,Твёрдый переплёт,офсет,132x207  мм,0.77  кг
Арден Лия: Невеста Ноября. Подарочное издание,1 104 ₽,Лия Арден,Невеста Ноября. Коллекция,Русское фэнтези,"Эксмо, Черным-бело",978-5-04-206560-6,16+,2024,416,Твёрдый переплёт,офсет,132x207  мм,0.52  кг
Дашкевич Софья: Снежная вакансия,535 ₽,Софья Дашкевич,Помощница злодея,Русское фэнтези,АСТ,978-5-17-170673-9,16+,2024,288,Твёрдый переплёт,газетная,135x207  мм,0.31  кг
"Наумова Сора, Дубинина Мария: Серебряный змей в корнях сосны - 4",660 ₽,"Сора Наумова, Мария Дубинина",NoSugar. Легенды змея,Русское фэнтези,Нет данных,978-5-17-162839-0,16+,2024,512,Твёрдый переплёт,газетная,125x200  мм,0.01  кг
"Осинская Татьяна, Эльба Ирина: Темное заклинание для лорда",670 ₽,"Татьяна Осинская, Ирина Эльба",Сказочные миры Ирины Эльбы и Татьяны Осинской,Русское фэнтези,Эксмо,978-5-04-206634-4,16+,2024,320,Твёрдый переплёт,газетная,130x205  мм,0.31  кг
"Коэн Анна, Коэн Марк: Геммы. Орден Сияющих",744 ₽,"Коэн Анна, Марк Коэн",Young Adult. Книжный бунт. Фантастика,Русское фэнтези,"Эксмо, Черным-бело",978-5-04-203552-4,16+,2025,640,Твёрдый переплёт,Нет данных,90x140  мм,0.01  кг
"Дяченко Марина Юрьевна, Дяченко Сергей Сергеевич: Vita nostra. Собирая осколки",552 ₽,"Марина Дяченко, Сергей Дяченко",Магистраль. Главный тренд,Русское фэнтези,Эксмо,978-5-04-205871-4,16+,2024,352,Мягкий переплёт,офсет,126x200  мм,0.31  кг
Райд Рия: Лиделиум. Наследие Десяти,764 ₽,Рия Райд,Young Adult. Все звезды в нас самих. Романтическая фантастика от Рии Райд,Русское фэнтези,"Эксмо, Like Book",978-5-04-202579-2,18+,2024,512,Твёрдый переплёт,Нет данных,142x218  мм,0.56  кг
Панов Вадим Юрьевич: Высшая каста,702 ₽,Вадим Панов,Тайный город. Мистическая городская фэнтези,Русское фэнтези,Эксмо,978-5-04-186894-9,16+,2024,384,Твёрдый переплёт,газетная,125x200  мм,0.01  кг
Маро Моргана: Цветы пиона на снегу. Том 1: роман,747 ₽,Маро Моргана,Цветы пиона на снегу,Русское фэнтези,О2 Young adult книги,978-5-353-10618-0,16+,2023,400,Твёрдый переплёт,Нет данных,150x225  мм,0.54  кг
Салье Мира: Мальн. Наследие древних (#2),705 ₽,Мира Салье,Young Adult. Легенды Оглама,Русское фэнтези,"Эксмо, Freedom",978-5-04-179846-8,16+,2024,512,Твёрдый переплёт,газетная,135x207  мм,0.45  кг
Моргот Эл: Злодейский путь!.. Том 4,1 147 ₽,Эл Моргот,Злодейский путь!...,Русское фэнтези,МИФ,978-5-00214-413-6,16+,2024,480,Твёрдый переплёт,офсет,160x225  мм,0.82  кг
"Руднева Мария Сергеевна: Похоронное бюро ""Хэйзел и Смит""",552 ₽,Мария Руднева,Изобретая реальность. Романы М. Рудневой,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-196638-6,18+,2024,320,Твёрдый переплёт,газетная,130x205  мм,0.30  кг
Пехов Алексей Юрьевич: Джанга с тенями. Коллекционное издание,1 759 ₽,Алексей Пехов,Миры Крадущегося,Русское фэнтези,Alpaca,978-5-00242-027-8,16+,2024,432,Твёрдый переплёт,Нет данных,Нет данных,0.01  кг
Завойчинская Милена Валерьевна: Проделки бога лета,577 ₽,Милена Завойчинская,Колдовские миры Милены Завойчинской. Новое оформление,Русское фэнтези,Эксмо,978-5-04-203630-9,16+,2024,384,Твёрдый переплёт,газетная,130x205  мм,0.35  кг
"Серганова Татьяна Ю., Черчень Александра, Ёрш Ника: Тот самый Голд-Тери",720 ₽,"Татьяна Серганова, Александра Черчень, Ника Ёрш",Самая волшебная ночь,Русское фэнтези,Эксмо,978-5-04-209245-9,16+,2024,544,Твёрдый переплёт,газетная,131x207  мм,0.46  кг
Ефиминюк Марина Владимировна: Любовь к драконам обязательна!,670 ₽,Марина Ефиминюк,Не злите добрую колдунью!,Русское фэнтези,Эксмо,978-5-04-206558-3,16+,2024,352,Твёрдый переплёт,газетная,128x205  мм,0.31  кг
Отдел непримиримых врагов,576 ₽,Нет данных,Отдел монстрологических преступлений,Русское фэнтези,АСТ,978-5-17-161511-6,16+,2025,384,Твёрдый переплёт,газетная,Нет данных,0.01  кг
Торин Владимир Витальевич: Птицы,934 ₽,Владимир Торин,Red Violet. Темные миры,Русское фэнтези,МИФ,978-5-00214-219-4,16+,2024,800,Твёрдый переплёт,офсет,135x207  мм,0.77  кг
Арден Лия: Во главе кошмаров,722 ₽,Лия Арден,Охотники за мирами. Бестселлеры Лии Арден,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-194552-7,18+,2024,576,Твёрдый переплёт,офсет,130x205  мм,0.55  кг
"Арнаутова Дана, Соловьева Евгения С.: Мертвым можно все",1 002 ₽,"Дана Арнаутова, Евгения Соловьева",New adult. Магические миры Даны Арнаутовой,Русское фэнтези,Эксмо,978-5-04-204284-3,16+,2025,608,Твёрдый переплёт,газетная,Нет данных,0.01  кг
Старобинец Анна Альфредовна: Лисьи Броды: роман,1 189 ₽,Анна Старобинец,Нет данных,Русское фэнтези,Рипол,978-5-386-14700-6,18+,2022,720,Твёрдый переплёт,Нет данных,170x220  мм,0.96  кг
Ли Ринга: Ныряя в синеву небес. Том 2,1 752 ₽,Ринга Ли,Ныряя в синеву небес,Русское фэнтези,МИФ,978-5-00214-978-0,12+,2024,640,Твёрдый переплёт,Нет данных,155x220  мм,0.01  кг
Мэй: Чернила и кровь,849 ₽,Мэй,Young Adult. Книжный бунт. Фантастика,Русское фэнтези,"Эксмо, Черным-бело",978-5-04-203634-7,18+,2024,544,Твёрдый переплёт,офсет,128x206  мм,0.52  кг
Грай Нина: Во имя себя,691 ₽,Нина Грай,Охотники за мирами,Русское фэнтези,Эксмо,978-5-04-209373-9,16+,2024,448,Твёрдый переплёт,Нет данных,130x205  мм,0.41  кг
Черкасова Ульяна: Золотые земли. Вампирский роман Клары Остерман,871 ₽,Ульяна Черкасова,Young Adult. Книжный бунт. Новые сказки,Русское фэнтези,"Эксмо, Черным-бело",978-5-04-210293-6,16+,2024,480,Твёрдый переплёт,Нет данных,131x205  мм,0.42  кг
Демина Карина: Ведьмин рассвет,600 ₽,Карина Демина,Идеальное фэнтези. Романы Карины Деминой,Русское фэнтези,АСТ,978-5-17-162667-9,16+,2025,384,Твёрдый переплёт,газетная,Нет данных,0.01  кг
Алфеева Лина: Право новогодней ночи,670 ₽,Лина Алфеева,Миры Лины Алфеевой,Русское фэнтези,Эксмо,978-5-04-190965-9,16+,2024,384,Твёрдый переплёт,газетная,130x205  мм,0.35  кг
Камша Вера Викторовна: Красное на красном,199 ₽,Вера Камша,Отблески Этерны. Кинообложка,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-164222-8,16+,2022,704,Твёрдый переплёт,газетная,145x216  мм,0.71  кг
Арден Лия: Невеста Ноября,747 ₽,Лия Арден,Охотники за мирами. Бестселлеры Лии Арден,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-160500-1,16+,2024,448,Твёрдый переплёт,офсет,134x208  мм,0.42  кг
Салье Мира: Мальн. Кровь и стекло (#1),742 ₽,Мира Салье,Young Adult. Легенды Оглама,Русское фэнтези,"Эксмо, Freedom",978-5-04-178609-0,16+,2025,576,Твёрдый переплёт,газетная,130x208  мм,0.52  кг
"Дяченко Марина Юрьевна, Дяченко Сергей Сергеевич: Ритуал",509 ₽,"Марина Дяченко, Сергей Дяченко",Магистраль. Главный тренд,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-199666-6,16+,2024,320,Мягкий переплёт,офсет,125x200  мм,0.29  кг
Жильцова Наталья Сергеевна: Факультет 1-5: Призраков. Избранных. Проклятых. Выживших. Изгнанных,1 189 ₽,Наталья Жильцова,Коллекция фэнтези-бестселлеров,Русское фэнтези,"АСТ, Жанры",978-5-17-166161-8,16+,2024,864,Твёрдый переплёт,газетная,145x218  мм,0.80  кг
Одувалова Анна Сергеевна: Элита Горскейра. Невыносимый дар,569 ₽,Анна Одувалова,Элитное фэнтези Анны Одуваловой,Русское фэнтези,Эксмо,978-5-04-206635-1,16+,2024,384,Твёрдый переплёт,газетная,133x205  мм,0.31  кг
Аск Рона: Дар Древнего короля,744 ₽,Рона Аск,Словотворцы магических миров,Русское фэнтези,АСТ,978-5-17-160646-6,16+,2024,800,Твёрдый переплёт,газетная,138x212  мм,0.01  кг
Эссес Дария: Крылья возмездия,834 ₽,Дария Эссес,Словотворцы магических миров,Русское фэнтези,АСТ,978-5-17-164366-9,18+,2025,704,Твёрдый переплёт,газетная,Нет данных,0.01  кг
Миллер Рия: В лабиринтах правды,720 ₽,Рия Миллер,Young Adult. Короли лабиринтов,Русское фэнтези,"Эксмо, Like Book",978-5-04-206833-1,18+,2024,320,Твёрдый переплёт,Нет данных,145x220  мм,0.38  кг
Кровь для мотылька,702 ₽,Нет данных,Young Adult. Дети крови,Русское фэнтези,"Эксмо, Like Book",978-5-04-211290-4,18+,2025,416,Твёрдый переплёт,Нет данных,138x212  мм,0.01  кг
Маро Моргана: Цветы пиона на снегу. Том 2,747 ₽,Маро Моргана,Цветы пиона на снегу,Русское фэнтези,О2 Young adult книги,978-5-353-10822-1,18+,2024,448,Твёрдый переплёт,Нет данных,150x223  мм,0.58  кг
Аквила Люцида: Янтарь рассеивает тьму. Мелодия демона (#3),747 ₽,Люцида Аквила,Young Adult. Владыка демонов,Русское фэнтези,"Эксмо, Freedom",978-5-04-197680-4,18+,2024,640,Твёрдый переплёт,офсет,145x219  мм,0.77  кг
Кель Фрэнсис: Песнь Сорокопута,679 ₽,Фрэнсис Кель,Охотники за мирами,Русское фэнтези,Эксмо,978-5-04-207268-0,18+,2024,416,Твёрдый переплёт,офсет,128x206  мм,0.39  кг
Лунева Мария: Секретарь лорда Демона,577 ₽,Лунева Мария,Необыкновенная магия. Шедевры Рунета,Русское фэнтези,АСТ,978-5-17-170224-3,16+,2024,384,Твёрдый переплёт,газетная,132x207  мм,0.30  кг
Хэйс Риган: Эринии и Эвмениды,663 ₽,Риган Хэйс,Нет данных,Русское фэнтези,Полынь,978-5-907124-84-4,16+,2025,304,Мягкий переплёт,Нет данных,140x210  мм,0.29  кг
Шрайфер Крис: Хрустальные осколки,620 ₽,Крис Шрайфер,Книжный клуб Мирай,Русское фэнтези,АСТ,978-5-17-162264-0,18+,2024,384,Твёрдый переплёт,газетная,130x205  мм,0.37  кг
"Дэвлин Джейд, Карбон Лис: Особенности укрощения небожителей",720 ₽,"Джейд Дэвлин, Лис Карбон",ФантАзия небожителей,Русское фэнтези,АСТ,978-5-17-170625-8,16+,2024,320,Твёрдый переплёт,газетная,145x218  мм,0.38  кг
Восстание безумных богов: магия крови,1 412 ₽,Нет данных,Вселенная Упорядоченного. Летописи Разлома,Русское фэнтези,Феникс,978-5-222-41915-1,16+,2025,688,Нет данных,Нет данных,Нет данных,0.01  кг
Фрай Макс: Чужак,832 ₽,Макс Фрай,Лабиринты Ехо. Иллюстрации Ферез,Русское фэнтези,АСТ,978-5-17-151806-6,12+,2024,640,Твёрдый переплёт,газетная,125x205  мм,0.61  кг
Арден Лия: Пятый Дракон,790 ₽,Лия Арден,Охотники за мирами. Бестселлеры Лии Арден,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-172691-1,16+,2023,512,Твёрдый переплёт,офсет,128x207  мм,0.51  кг
Моргот Эл: Злодейский путь!.. Том 3,1 147 ₽,Эл Моргот,Злодейский путь!...,Русское фэнтези,МИФ,978-5-00214-197-5,16+,2023,544,Твёрдый переплёт,офсет,162x226  мм,0.90  кг
Фрай Макс: Волна вероятности,764 ₽,Макс Фрай,Ловцы книг (илл. Ферез),Русское фэнтези,АСТ,978-5-17-163251-9,16+,2024,480,Твёрдый переплёт,офсет,130x206  мм,0.48  кг
Аквила Люцида: Комплект «Владыка демонов: Янтарь рассеивает тьму+Янтарь рассеивает тьму. Асдэм» (комплект из 2 книг),1 359 ₽,Люцида Аквила,Young Adult. Владыка демонов,Русское фэнтези,"Эксмо, Freedom",978-5-04-205735-9,18+,2024,1184,Твёрдый переплёт,Нет данных,150x220  мм,1.43  кг
"Плат Ами Д.: Волчица, покорившая хаос",767 ₽,Ами Д. Плат,Red Violet. Магия Азии,Русское фэнтези,МИФ,978-5-00214-553-9,12+,2024,352,Твёрдый переплёт,офсет,125x200  мм,0.01  кг
"Косухина Наталья Викторовна: Служить нельзя, любить!",1 019 ₽,Наталья Косухина,Коллекция фэнтези-бестселлеров,Русское фэнтези,АСТ,978-5-17-162191-9,16+,2024,560,Твёрдый переплёт,газетная,145x218  мм,0.59  кг
Фрай Макс: Тубурская игра,722 ₽,Макс Фрай,Хроники Ехо. Иллюстрации Ферез,Русское фэнтези,АСТ,978-5-17-163765-1,16+,2024,384,Твёрдый переплёт,газетная,130x205  мм,0.41  кг
Способина Наталья: Прядущая. И не прервется род,849 ₽,Наталья Способина,Прядущая,Русское фэнтези,МИФ,978-5-00214-507-2,16+,2024,480,Твёрдый переплёт,офсет,130x206  мм,0.47  кг
Чароит Алан: Новые чудеса Дивнозёрья роман,577 ₽,Алан Чароит,Дивнозёрье,Русское фэнтези,АСТ,978-5-17-168406-8,16+,2024,352,Твёрдый переплёт,газетная,135x205  мм,0.35  кг
Кондрацкая Елена Александровна: Дикая птица,770 ₽,Елена Кондрацкая,Young Adult. Книжный бунт. Фантастика,Русское фэнтези,"Эксмо, Черным-бело",978-5-04-206638-2,16+,2024,416,Твёрдый переплёт,офсет,130x205  мм,0.42  кг
Инспирати Елена: Любовь серого оттенка. Тьма в объятиях света (#3),660 ₽,Елена Инспирати,Young Adult. Мир светлых и тёмных,Русское фэнтези,"Эксмо, Freedom",978-5-04-210101-4,18+,2025,640,Твёрдый переплёт,офсет,125x200  мм,0.01  кг
Анжело Алекс: Кай (коллекционное издание),1 254 ₽,Алекс Анжело,Хиты Young Adult. Коллекция,Русское фэнтези,"Эксмо, Черным-бело",978-5-04-206642-9,16+,2025,384,Твёрдый переплёт,офсет,125x200  мм,0.01  кг
Гаврилова Анна Сергеевна: Эмелис,972 ₽,Анна Гаврилова,Фэнтези миры Анны Гавриловой,Русское фэнтези,Эксмо,978-5-04-206686-3,16+,2024,672,Твёрдый переплёт,газетная,130x208  мм,0.54  кг
Гончарова Галина Дмитриевна: Устинья. Возвращение,534 ₽,Галина Гончарова,Колдовские миры Галины Гончаровой. Новое оформление,Русское фэнтези,Эксмо,978-5-04-210983-6,16+,2024,480,Твёрдый переплёт,газетная,125x200  мм,0.01  кг
Ариманта Юна: Сердце Стаи,618 ₽,Юна Ариманта,Темные миры Маши Моран и Юны Ариманты,Русское фэнтези,АСТ,978-5-17-161697-7,18+,2025,384,Твёрдый переплёт,газетная,Нет данных,0.01  кг
Гор Анастасия: Ковен озера Шамплейн. Трилогия,2 634 ₽,Анастасия Гор,Хиты Young Adult. Коллекция,Русское фэнтези,Нет данных,978-5-04-172753-6,18+,2023,1152,Твёрдый переплёт,офсет,173x242  мм,1.73  кг
Граф Полина: Эквилибрис. Книга 3. Индивидуум: роман,577 ₽,Граф Полина,Эквилибрис,Русское фэнтези,Popcorn Books,978-5-6048364-0-8,18+,2024,704,Мягкий переплёт,Нет данных,140x210  мм,0.65  кг
Котова Ирина Владимировна: Королевская кровь-11. Чужие боги,2 889 ₽,Ирина Котова,Терра Котовой,Русское фэнтези,RUGRAM,978-5-517-11484-6,16+,2024,572,Твёрдый переплёт,Нет данных,150x215  мм,0.83  кг
Серганова Татьяна Ю.: Травница. Книга 1,594 ₽,Татьяна Серганова,Магическая романтика Татьяны Сергановой,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-199451-8,16+,2024,416,Твёрдый переплёт,газетная,130x206  мм,0.32  кг
Гор Анастасия: Рубиновый лес. Дилогия,2 294 ₽,Анастасия Гор,Хиты Young Adult. Коллекция,Русское фэнтези,"Эксмо, Черным-бело",978-5-04-203626-2,16+,2024,928,Твёрдый переплёт,офсет,170x240  мм,1.49  кг
Дашкевич Виктор: Граф Аверин. Колдун Российской империи,492 ₽,Виктор Дашкевич,Расследования графа Аверина (покет с клапанами),Русское фэнтези,Эксмо,978-5-04-202576-1,16+,2024,608,Мягкий переплёт,офсет,125x200  мм,0.49  кг
Тони Сия: Система: Эксперимент,620 ₽,Сия Тони,Freedom. Эксперимент любви. Романтическое фэнтези Сии Тони,Русское фэнтези,"Эксмо, Freedom",978-5-04-204124-2,18+,2024,416,Твёрдый переплёт,офсет,128x207  мм,0.40  кг
Кель Фрэнсис: Песнь Сорокопута. Ренессанс,722 ₽,Фрэнсис Кель,Охотники за мирами,Русское фэнтези,Эксмо,978-5-04-208840-7,18+,2024,512,Твёрдый переплёт,офсет,130x205  мм,0.48  кг
